Class,"_defaultColorIndex","id",Model,PA
"Class 7","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.3695133626461029"
"Class 8","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.8619973063468933"
"Class 9","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.5599386692047119"
"Class 10","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.9494848251342773"
"Class 11","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.5099829435348511"
"Class 12","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.017307305708527565"
"Class 13","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.9107692837715149"
"Class 14","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.4119149148464203"
"Class 15","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.7134461402893066"
"Class 16","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0"
"Class 17","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.06050122529268265"
"Class 18","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.07473309338092804"
"Class 19","5","mamba_unet_def_sufl_2","mamba_unet_def_sufl_2","0.7730239629745483"
"Class 0","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.94327712059021"
"Class 1","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.669551432132721"
"Class 2","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.8622578382492065"
"Class 3","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.25820478796958923"
"Class 4","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.31288450956344604"
"Class 5","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.4270096719264984"
"Class 6","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.4828551113605499"
"Class 7","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.32971590757369995"
"Class 8","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.8313148021697998"
"Class 9","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.5265829563140869"
"Class 10","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.9540423154830933"
"Class 11","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.40373316407203674"
"Class 12","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.008854900486767292"
"Class 13","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.9235206842422485"
"Class 14","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.3440210223197937"
"Class 15","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.47844457626342773"
"Class 16","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0"
"Class 17","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.08218716084957123"
"Class 18","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.17628368735313416"
"Class 19","4","unet_original_def_sufl_2","unet_original_def_sufl_2","0.7545087337493896"
"Class 0","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.9433209300041199"
"Class 1","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.6857295036315918"
"Class 2","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.8570435047149658"
"Class 3","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.3885188698768616"
"Class 4","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.34830549359321594"
"Class 5","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.4263405501842499"
"Class 6","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.4307282269001007"
"Class 7","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.36025092005729675"
"Class 8","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.8542482256889343"
"Class 9","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.5690003037452698"
"Class 10","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.9463669061660767"
"Class 11","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.4169517457485199"
"Class 12","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0"
"Class 13","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.9058170318603516"
"Class 14","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.4455966651439667"
"Class 15","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.5321429371833801"
"Class 16","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0"
"Class 17","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.042865581810474396"
"Class 18","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0"
"Class 19","3","hmt_unet_def_sufl_1","hmt_unet_def_sufl_1","0.7636656165122986"
"Class 0","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.9344916343688965"
"Class 1","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.5929155349731445"
"Class 2","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.8528532981872559"
"Class 3","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.21986165642738342"
"Class 4","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.2605331838130951"
"Class 5","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.32065922021865845"
"Class 6","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.41454073786735535"
"Class 7","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.3109922707080841"
"Class 8","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.8259015083312988"
"Class 9","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.5194966197013855"
"Class 10","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.9609923958778381"
"Class 11","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.32911354303359985"
"Class 12","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0"
"Class 13","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.8781810402870178"
"Class 14","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.29192882776260376"
"Class 15","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.2386849969625473"
"Class 16","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0"
"Class 17","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.00033752425224520266"
"Class 18","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.022496186196804047"
